Symbol,Name,Sector,Price,52 Week High,52 Week Low,Dividend Yield,Earnings per Share,Sales per Share,Book Value per Share,EBITDA,Market Cap
CB,Chubb Limited,Financials,140.39,157.5,130.17,1.9251627,8.2,66.89813609,103.9925926,0,68424670566
BHF,Brighthouse Financial Inc,Financials,55.44,75,52.751,0,-24.62,39.07428893,108.7058824,0,7066613254
PRU,Prudential Financial,Financials,103.38,127.14,97.88,2.6985698,9.73,95.39302795,111.1612903,0,47136080000
BRK.B,Berkshire Hathaway,Financials,191.42,217.62,160.93,0,9.76,133.5963851,121.1518987,0,2.61E+11
CHTR,Charter Communications,Consumer Discretionary,348.65,408.83,308.3,0,34.08,164.3905968,153.5903084,14694000000,86708878113
BLK,BlackRock,Financials,509.38,594.52,368,2.1643558,30.3,73.65432146,172.6711864,5684000000,85907759858
GS,Goldman Sachs Group,Financials,246.35,273.79,209.62,1.1668612,8.61,106.672036,197.08,0,96978500251
AGN,"Allergan, Plc",Health Care,164.2,256.8,160.07,1.643289,38.35,34.06557727,197.8313253,-2888100000,56668833898
RE,Everest Re Group Ltd.,Financials,241.06,277.17,208.81,2.1078234,23.71,114.8342882,207.8103448,0,10131892523
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,1198,824.3,0,22.27,148.1557824,214.406383,34217000000,7.34E+11
GOOG,Alphabet Inc Class C,Information Technology,1001.52,1186.89,803.1903,0,22.27,147.8770579,214.4582441,32714000000,7.29E+11
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,2067.99,1589,0,42.66,196.8122273,260.9913295,4803487000,91817448863
ARNC,Arconic Inc,Industrials,24.45,31.17,21.755,0.9561753,-0.21,25.9513326,,1517000000,12123300000
FL,Foot Locker Inc,Consumer Discretionary,45.88,77.86,28.42,2.5827951,4.91,44.27311611,,957000000,5819080328
HCA,HCA Holdings,Health Care,95.97,106.84,71.18,1.4227642,5.94,132.337349,,8202000000,34449052800
MRO,Marathon Oil Corp.,Energy,15.68,19.52,10.55,1.2247398,-2.65,3.366341586,,2266000000,13875005314
OXY,Occidental Petroleum,Energy,68.47,78.09,57.2,4.4081864,-0.75,11.32691304,,5205000000,53467692395
PEP,PepsiCo Inc.,Consumer Staples,110.15,122.51,104.77,2.8370044,4.36,30.0094848,,12843000000,1.61E+11
TDG,TransDigm Group,Industrials,283,321.38,203.72,0,7.92,66.29448055,,1635916000,15241203731
UNP,Union Pacific,Industrials,124.86,143.05,101.06,2.062655,13.52,25.68867551,,10169000000,1.02E+11
